y	m	d	Mondovi_Simn	Mondovi_arpa
1995	1	4	0	0
1995	1	5	0	0
1995	1	6	0	0
1995	1	7	0	0
1995	1	8	0	0
1995	1	9	0	0
1995	1	10	0	0
1995	1	11	0	0
1995	1	12	0	0
1995	1	13	0	0
1995	1	14	0	0
1995	1	15	0	0
1995	1	16	0	0
1995	1	17	0	0
1995	1	18	0	0
1995	1	19	7	5.4
1995	1	20	0	0
1995	1	21	0	0
1995	1	22	0	0
1995	1	23	0	0
1995	1	24	0	0
1995	1	25	0	0
1995	1	26	0	0
1995	1	27	0	0
1995	1	28	0	0
1995	1	29	0	0
1995	1	30	0	0
1995	1	31	0	0
1995	2	1	0	0
1995	2	2	0	0
1995	2	3	0	0
1995	2	4	0	0
1995	2	5	0	0
1995	2	6	0	0
1995	2	7	0	0
1995	2	8	0	0
1995	2	9	0	0
1995	2	10	0	0
1995	2	11	0.4	3.8
1995	2	12	2.4	0
1995	2	13	0.4	0
1995	2	14	0	3
1995	2	15	0	0
1995	2	16	0.2	0
1995	2	17	0.2	0
1995	2	18	0.2	0
1995	2	19	0	0
1995	2	20	0.2	0
1995	2	21	0	0
1995	2	22	0	0
1995	2	23	0.4	6
1995	2	24	0	0
1995	2	25	0	0
1995	2	26	0	0.6
1995	2	27	0	0.6
1995	2	28	0	0
1995	3	1	0	0
1995	3	2	0	0
1995	3	3	0.2	0
1995	3	4	0	1.8
1995	3	5	0	1.8
1995	3	6	0.2	0
1995	3	7	0	0
1995	3	8	0	0
1995	3	9	0	4.4
1995	3	10	0.4	0
1995	3	11	0	0
1995	3	12	0	0
1995	3	13	NA	0
1995	3	14	NA	0
1995	3	15	NA	0
1995	3	16	NA	0
1995	3	17	NA	0
1995	3	18	NA	0
1995	3	19	NA	0
1995	3	20	NA	0
1995	3	21	NA	0
1995	3	22	NA	0
1995	3	23	NA	0
1995	3	24	NA	0
1995	3	25	NA	0
1995	3	26	NA	0
1995	3	27	NA	0
1995	3	28	NA	0
1995	3	29	NA	0
1995	3	30	NA	0
1995	3	31	NA	0
1995	4	1	NA	0
1995	4	2	NA	0
1995	4	3	NA	0
1995	4	4	NA	0
1995	4	5	NA	0
1995	4	6	NA	0
1995	4	7	NA	0
1995	4	8	NA	0
1995	4	9	NA	0
1995	4	10	NA	0
1995	4	11	NA	0
1995	4	12	NA	0
1995	4	13	NA	4.2
1995	4	14	NA	3.8
1995	4	15	NA	2.2
1995	4	16	NA	0
1995	4	17	NA	0
1995	4	18	NA	0
1995	4	19	NA	0
1995	4	20	NA	0
1995	4	21	NA	3
1995	4	22	NA	5.4
1995	4	23	NA	37.6
1995	4	24	NA	37.8
1995	4	25	NA	56.8
1995	4	26	NA	0
1995	4	27	NA	0
1995	4	28	NA	0
1995	4	29	NA	0
1995	4	30	NA	19.2
1995	5	1	NA	0.2
1995	5	2	NA	0
1995	5	3	NA	0
1995	5	4	NA	0
1995	5	5	NA	0
1995	5	6	NA	0
1995	5	7	NA	0
1995	5	8	NA	0
1995	5	9	NA	0
1995	5	10	NA	0
1995	5	11	NA	0
1995	5	12	NA	40
1995	5	13	NA	10
1995	5	14	NA	1
1995	5	15	NA	0
1995	5	16	0	0
1995	5	17	0.2	0.4
1995	5	18	0	0
1995	5	19	1	0.6
1995	5	20	0	0
1995	5	21	0	0
1995	5	22	0	0
1995	5	23	0	0
1995	5	24	0	0
1995	5	25	0	0
1995	5	26	15.6	15.2
1995	5	27	14	13
1995	5	28	0	0
1995	5	29	0	0
1995	5	30	0.4	0.6
1995	5	31	18	15.8
1995	6	1	53.2	50.2
1995	6	2	0	0
1995	6	3	18.4	16.2
1995	6	4	1.2	1.2
1995	6	5	0	0
1995	6	6	7	6.6
1995	6	7	0	0
1995	6	8	0	0
1995	6	9	4.6	4.4
1995	6	10	6.4	9
1995	6	11	2.6	1.8
1995	6	12	15.8	15.8
1995	6	13	8.4	8.8
1995	6	14	0	0
1995	6	15	0	0
1995	6	16	0	0
1995	6	17	0	0
1995	6	18	0	0
1995	6	19	0	0
1995	6	20	0	0
1995	6	21	0	0
1995	6	22	1	1.2
1995	6	23	1.4	1
1995	6	24	4.2	4.8
1995	6	25	0	0
1995	6	26	0	0
1995	6	27	0	0
1995	6	28	0	0
1995	6	29	0	0
1995	6	30	0	0
1995	7	1	0	0
1995	7	2	0	0
1995	7	3	0	0
1995	7	4	0	0
1995	7	5	1.2	1
1995	7	6	10.6	14.4
1995	7	7	0	0
1995	7	8	0	0
1995	7	9	0	0
1995	7	10	0	0
1995	7	11	0	0
1995	7	12	0	0
1995	7	13	0	0.2
1995	7	14	0	0
1995	7	15	7.6	6.4
1995	7	16	0	0
1995	7	17	0	0
1995	7	18	NA	0
1995	7	19	NA	0
1995	7	20	NA	0
1995	7	21	NA	0
